Temperature,Frequency Penalty,Presence Penalty,Top P,Count
1.2,1.6,1.8,0.95,12
1.8,1.6,1.2,0.95,9
1.8,1.6,1.8,0.95,9
1.8,1.8,1.4,0.95,9
1.4,1.8,1.6,0.95,8
1.6,1.2,1.4,0.95,8
1.2,1.2,1.2,0.92,8
1.2,1.4,1.4,0.95,8
1.6,1.6,1.2,0.92,7
1.6,1.8,1.8,0.95,7
1.4,1.6,1.2,0.92,7
1.8,1.2,1.6,0.95,7
1.8,1.4,1.4,0.95,7
1.6,1.4,1.2,0.95,7
1.4,1.8,1.4,0.92,6
1.4,1.2,1.6,0.95,6
1.4,1.4,1.6,0.92,6
1.6,1.2,1.2,0.95,6
1.4,1.2,1.2,0.92,6
1.6,1.2,1.6,0.95,6
1.8,1.4,1.6,0.92,6
1.6,1.2,1.8,0.92,6
1.8,1.2,1.6,0.92,6
1.4,1.4,1.2,0.95,5
1.4,1.8,1.8,0.92,5
1.8,1.6,1.6,0.95,5
1.2,1.8,1.2,0.92,5
1.8,1.4,1.2,0.92,5
1.8,1.4,1.8,0.92,5
1.2,1.8,1.6,0.92,5
1.2,1.2,1.6,0.92,5
1.4,1.8,1.6,0.92,5
1.4,1.2,1.8,0.92,5
1.6,1.2,1.8,0.95,5
1.8,1.2,1.2,0.95,5
1.8,1.6,1.4,0.95,5
1.4,1.8,1.2,0.95,5
1.8,1.8,1.6,0.95,5
1.8,1.8,1.8,0.95,5
1.2,1.6,1.6,0.95,5
1.8,1.2,1.4,0.95,5
1.4,1.4,1.4,0.95,5
1.2,1.6,1.8,0.92,4
1.4,1.6,1.6,0.92,4
1.4,1.6,1.8,0.95,4
1.4,1.6,1.8,0.92,4
1.8,1.8,1.2,0.92,4
1.4,1.4,1.4,0.92,4
1.4,1.2,1.6,0.92,4
1.6,1.6,1.6,0.92,4
1.4,1.8,1.2,0.92,4
1.2,1.8,1.4,0.92,4
1.4,1.6,1.4,0.95,4
1.8,1.4,1.6,0.95,4
1.2,1.4,1.8,0.95,4
1.8,1.2,1.8,0.95,4
1.6,1.8,1.2,0.95,4
1.6,1.8,1.8,0.92,4
1.8,1.6,1.4,0.92,4
1.4,1.6,1.4,0.92,4
1.2,1.6,1.4,0.92,4
1.2,1.4,1.4,0.92,4
1.8,1.4,1.2,0.95,4
1.2,1.4,1.6,0.92,4
1.6,1.6,1.2,0.95,4
1.2,1.6,1.2,0.92,4
1.4,1.4,1.8,0.92,4
1.2,1.4,1.8,0.92,4
1.2,1.8,1.6,0.95,4
1.2,1.8,1.8,0.92,4
1.2,1.8,1.2,0.95,4
1.6,1.4,1.6,0.92,4
1.2,1.4,1.2,0.92,4
1.4,1.8,1.4,0.95,3
1.8,1.8,1.6,0.92,3
1.6,1.8,1.2,0.92,3
1.4,1.2,1.4,0.95,3
1.4,1.2,1.2,0.95,3
1.6,1.4,1.8,0.92,3
1.2,1.2,1.2,0.95,3
1.2,1.8,1.4,0.95,3
1.6,1.2,1.4,0.92,3
1.6,1.6,1.8,0.95,3
1.6,1.8,1.4,0.95,3
1.6,1.2,1.2,0.92,3
1.4,1.2,1.8,0.95,3
1.2,1.4,1.2,0.95,3
1.6,1.6,1.4,0.95,3
1.8,1.6,1.8,0.92,3
1.2,1.6,1.4,0.95,3
1.8,1.4,1.8,0.95,3
1.2,1.2,1.8,0.95,3
1.6,1.4,1.6,0.95,3
1.6,1.6,1.8,0.92,3
1.2,1.4,1.6,0.95,3
1.2,1.6,1.2,0.95,2
1.6,1.8,1.6,0.92,2
1.4,1.4,1.2,0.92,2
1.4,1.6,1.2,0.95,2
1.8,1.2,1.2,0.92,2
1.6,1.6,1.4,0.92,2
1.6,1.8,1.4,0.92,2
1.6,1.4,1.2,0.92,2
1.4,1.8,1.8,0.95,2
1.6,1.4,1.4,0.95,2
1.6,1.8,1.6,0.95,2
1.8,1.6,1.2,0.92,2
1.2,1.2,1.4,0.95,2
1.4,1.4,1.8,0.95,2
1.2,1.2,1.4,0.92,2
1.8,1.8,1.2,0.95,2
1.8,1.6,1.6,0.92,2
1.4,1.4,1.6,0.95,2
1.2,1.2,1.8,0.92,2
1.6,1.4,1.4,0.92,2
1.8,1.2,1.4,0.92,2
1.4,1.6,1.6,0.95,1
1.2,1.8,1.8,0.95,1
1.6,1.2,1.6,0.92,1
1.6,1.6,1.6,0.95,1
1.8,1.8,1.8,0.92,1
1.8,1.8,1.4,0.92,1
1.2,1.2,1.6,0.95,1
1.8,1.4,1.4,0.92,1
1.6,1.4,1.8,0.95,1
1.8,1.2,1.8,0.92,1
