Temperature,Frequency Penalty,Presence Penalty,Top P,Count
1.4,1.4,1.2,0.95,25
1.2,1.6,1.8,0.95,25
1.4,1.2,1.4,0.92,25
1.2,1.2,1.6,0.92,24
1.2,1.8,1.6,0.95,24
1.4,1.2,1.8,0.92,24
1.2,1.4,1.2,0.95,24
1.6,1.8,1.6,0.92,24
1.8,1.4,1.4,0.92,24
1.8,1.6,1.2,0.95,24
1.2,1.8,1.2,0.95,23
1.4,1.6,1.2,0.95,23
1.6,1.4,1.8,0.92,23
1.6,1.6,1.6,0.95,23
1.6,1.8,1.6,0.95,23
1.8,1.6,1.4,0.95,23
1.8,1.8,1.8,0.95,23
1.2,1.4,1.8,0.95,23
1.2,1.6,1.4,0.92,23
1.2,1.6,1.6,0.95,23
1.2,1.8,1.4,0.92,23
1.4,1.2,1.2,0.95,23
1.4,1.4,1.6,0.92,23
1.4,1.6,1.2,0.92,23
1.4,1.6,1.4,0.92,23
1.6,1.2,1.2,0.95,23
1.6,1.8,1.4,0.92,23
1.8,1.2,1.6,0.92,23
1.8,1.8,1.6,0.92,23
1.2,1.6,1.2,0.92,22
1.2,1.8,1.8,0.95,22
1.4,1.4,1.2,0.92,22
1.4,1.6,1.4,0.95,22
1.6,1.6,1.2,0.92,22
1.6,1.6,1.2,0.95,22
1.6,1.8,1.2,0.95,22
1.8,1.2,1.2,0.92,22
1.8,1.2,1.8,0.92,22
1.8,1.4,1.2,0.95,22
1.8,1.4,1.6,0.95,22
1.8,1.4,1.8,0.95,22
1.8,1.6,1.6,0.95,22
1.2,1.4,1.2,0.92,22
1.2,1.4,1.4,0.95,22
1.2,1.4,1.6,0.95,22
1.2,1.6,1.2,0.95,22
1.4,1.2,1.4,0.95,22
1.4,1.2,1.6,0.92,22
1.4,1.8,1.2,0.92,22
1.6,1.2,1.6,0.95,22
1.6,1.4,1.4,0.92,22
1.8,1.2,1.2,0.95,22
1.8,1.8,1.2,0.95,22
1.8,1.8,1.4,0.95,22
1.6,1.6,1.8,0.95,22
1.2,1.4,1.8,0.92,21
1.2,1.8,1.8,0.92,21
1.4,1.2,1.2,0.92,21
1.4,1.2,1.6,0.95,21
1.4,1.4,1.4,0.92,21
1.4,1.4,1.4,0.95,21
1.4,1.4,1.6,0.95,21
1.4,1.8,1.8,0.95,21
1.6,1.2,1.2,0.92,21
1.6,1.2,1.8,0.95,21
1.8,1.6,1.6,0.92,21
1.8,1.8,1.6,0.95,21
1.2,1.2,1.2,0.95,21
1.2,1.2,1.4,0.95,21
1.2,1.4,1.6,0.92,21
1.2,1.6,1.8,0.92,21
1.2,1.8,1.4,0.95,21
1.2,1.8,1.6,0.92,21
1.4,1.8,1.2,0.95,21
1.6,1.2,1.4,0.92,21
1.6,1.2,1.6,0.92,21
1.6,1.4,1.8,0.95,21
1.6,1.6,1.8,0.92,21
1.8,1.2,1.8,0.95,21
1.8,1.4,1.2,0.92,21
1.8,1.4,1.6,0.92,21
1.8,1.6,1.8,0.92,21
1.8,1.6,1.8,0.95,21
1.4,1.8,1.6,0.95,21
1.6,1.4,1.4,0.95,21
1.6,1.4,1.6,0.92,21
1.4,1.2,1.8,0.95,20
1.4,1.4,1.8,0.92,20
1.6,1.2,1.4,0.95,20
1.6,1.4,1.2,0.92,20
1.8,1.8,1.4,0.92,20
1.2,1.2,1.6,0.95,20
1.2,1.2,1.8,0.92,20
1.2,1.6,1.4,0.95,20
1.2,1.8,1.2,0.92,20
1.4,1.6,1.8,0.92,20
1.4,1.8,1.4,0.92,20
1.6,1.2,1.8,0.92,20
1.6,1.4,1.2,0.95,20
1.6,1.6,1.4,0.92,20
1.6,1.8,1.8,0.92,20
1.6,1.8,1.8,0.95,20
1.8,1.2,1.4,0.95,20
1.8,1.2,1.6,0.95,20
1.8,1.4,1.4,0.95,20
1.8,1.6,1.4,0.92,20
1.8,1.8,1.8,0.92,20
1.4,1.6,1.6,0.92,20
1.2,1.6,1.6,0.92,19
1.4,1.8,1.8,0.92,19
1.2,1.2,1.4,0.92,19
1.2,1.2,1.8,0.95,19
1.4,1.8,1.4,0.95,19
1.4,1.8,1.6,0.92,19
1.6,1.6,1.6,0.92,19
1.8,1.2,1.4,0.92,19
1.8,1.4,1.8,0.92,19
1.2,1.2,1.2,0.92,19
1.2,1.4,1.4,0.92,19
1.4,1.4,1.8,0.95,19
1.6,1.8,1.2,0.92,18
1.8,1.8,1.2,0.92,18
1.4,1.6,1.8,0.95,18
1.4,1.6,1.6,0.95,17
1.6,1.6,1.4,0.95,17
1.8,1.6,1.2,0.92,17
1.6,1.4,1.6,0.95,16
1.6,1.8,1.4,0.95,15
