Temperature,Frequency Penalty,Presence Penalty,Top P,Count
1.2,1.2,1.8,0.95,14
1.2,1.8,1.2,0.92,14
1.2,1.8,1.4,0.95,14
1.4,1.4,1.4,0.92,14
1.4,1.4,1.6,0.95,14
1.6,1.6,1.6,0.95,14
1.8,1.6,1.6,0.95,14
1.8,1.8,1.2,0.92,14
1.2,1.2,1.2,0.92,13
1.2,1.2,1.4,0.95,13
1.2,1.4,1.4,0.92,13
1.2,1.4,1.4,0.95,13
1.2,1.6,1.2,0.92,13
1.2,1.6,1.4,0.92,13
1.2,1.6,1.4,0.95,13
1.2,1.6,1.8,0.95,13
1.2,1.8,1.8,0.92,13
1.4,1.2,1.8,0.92,13
1.4,1.4,1.2,0.95,13
1.4,1.4,1.4,0.95,13
1.4,1.4,1.6,0.92,13
1.4,1.6,1.2,0.95,13
1.4,1.6,1.6,0.95,13
1.4,1.8,1.2,0.95,13
1.4,1.8,1.4,0.92,13
1.4,1.8,1.6,0.92,13
1.6,1.2,1.4,0.92,13
1.6,1.4,1.2,0.92,13
1.6,1.4,1.4,0.95,13
1.6,1.4,1.8,0.92,13
1.6,1.6,1.2,0.92,13
1.6,1.6,1.6,0.92,13
1.6,1.6,1.8,0.92,13
1.6,1.8,1.2,0.95,13
1.8,1.2,1.8,0.92,13
1.8,1.4,1.2,0.92,13
1.8,1.6,1.4,0.95,13
1.8,1.8,1.4,0.95,13
1.8,1.8,1.8,0.95,13
1.2,1.2,1.6,0.95,12
1.2,1.4,1.2,0.92,12
1.2,1.4,1.6,0.92,12
1.2,1.6,1.6,0.92,12
1.2,1.6,1.6,0.95,12
1.2,1.8,1.6,0.95,12
1.4,1.2,1.2,0.95,12
1.4,1.2,1.4,0.95,12
1.4,1.2,1.8,0.95,12
1.4,1.4,1.8,0.92,12
1.4,1.4,1.8,0.95,12
1.4,1.6,1.4,0.92,12
1.4,1.6,1.8,0.92,12
1.4,1.6,1.8,0.95,12
1.4,1.8,1.8,0.92,12
1.6,1.2,1.2,0.95,12
1.6,1.2,1.4,0.95,12
1.6,1.2,1.6,0.92,12
1.6,1.2,1.8,0.95,12
1.6,1.4,1.4,0.92,12
1.6,1.4,1.6,0.92,12
1.6,1.4,1.6,0.95,12
1.6,1.4,1.8,0.95,12
1.6,1.6,1.4,0.95,12
1.6,1.6,1.8,0.95,12
1.6,1.8,1.2,0.92,12
1.6,1.8,1.6,0.92,12
1.6,1.8,1.6,0.95,12
1.6,1.8,1.8,0.95,12
1.8,1.2,1.6,0.95,12
1.8,1.2,1.8,0.95,12
1.8,1.4,1.6,0.95,12
1.8,1.4,1.8,0.92,12
1.8,1.6,1.2,0.92,12
1.8,1.6,1.6,0.92,12
1.8,1.6,1.8,0.95,12
1.8,1.8,1.6,0.92,12
1.8,1.8,1.8,0.92,12
1.2,1.2,1.2,0.95,11
1.2,1.2,1.4,0.92,11
1.2,1.2,1.6,0.92,11
1.2,1.2,1.8,0.92,11
1.2,1.4,1.6,0.95,11
1.2,1.4,1.8,0.92,11
1.2,1.4,1.8,0.95,11
1.2,1.8,1.2,0.95,11
1.2,1.8,1.6,0.92,11
1.2,1.8,1.8,0.95,11
1.4,1.2,1.2,0.92,11
1.4,1.2,1.6,0.95,11
1.4,1.6,1.2,0.92,11
1.4,1.8,1.2,0.92,11
1.4,1.8,1.4,0.95,11
1.4,1.8,1.8,0.95,11
1.6,1.2,1.2,0.92,11
1.6,1.2,1.6,0.95,11
1.6,1.4,1.2,0.95,11
1.6,1.6,1.2,0.95,11
1.6,1.6,1.4,0.92,11
1.6,1.8,1.4,0.92,11
1.6,1.8,1.4,0.95,11
1.6,1.8,1.8,0.92,11
1.8,1.2,1.2,0.95,11
1.8,1.2,1.4,0.95,11
1.8,1.2,1.6,0.92,11
1.8,1.4,1.2,0.95,11
1.8,1.4,1.4,0.92,11
1.8,1.4,1.6,0.92,11
1.8,1.6,1.4,0.92,11
1.8,1.8,1.2,0.95,11
1.8,1.8,1.6,0.95,11
1.2,1.4,1.2,0.95,10
1.2,1.6,1.2,0.95,10
1.2,1.6,1.8,0.92,10
1.2,1.8,1.4,0.92,10
1.4,1.2,1.4,0.92,10
1.4,1.2,1.6,0.92,10
1.4,1.4,1.2,0.92,10
1.4,1.6,1.4,0.95,10
1.4,1.6,1.6,0.92,10
1.4,1.8,1.6,0.95,10
1.6,1.2,1.8,0.92,10
1.8,1.2,1.2,0.92,10
1.8,1.2,1.4,0.92,10
1.8,1.4,1.4,0.95,10
1.8,1.6,1.2,0.95,10
1.8,1.8,1.4,0.92,10
1.8,1.4,1.8,0.95,9
1.8,1.6,1.8,0.92,9
